placeCode,ADM2_PCODE,name,PROVINCE,glofasStation
ZM100615017,ZM1006,Sesheke,Western,G1361
ZM050407816,ZM0504,Lusaka,Lusaka,G1351
ZM050407501,ZM0504,Lusaka,Lusaka,G1351
ZM050407918,ZM0504,Lusaka,Lusaka,G1351
ZM010601420,ZM0106,Serenje,Central,no_station
ZM050107302,ZM0501,Chongwe,Lusaka,G1353
ZM040205607,ZM0402,Kawambwa,Luapula,G1264
ZM040205811,ZM0402,Kawambwa,Luapula,G1264
ZM090111605,ZM0901,Choma,Southern,G1351
ZM090111515,ZM0901,Choma,Southern,G1351
ZM100113624,ZM1001,Kalabo,Western,G1328
ZM100614914,ZM1006,Sesheke,Western,G1361
ZM100514505,ZM1005,Senanga,Western,G1361
ZM100414411,ZM1004,Mongu,Western,G1328
ZM100614801,ZM1006,Sesheke,Western,G1361
ZM050307106,ZM0503,Luangwa,Lusaka,G1353
ZM050307109,ZM0503,Luangwa,Lusaka,G1353
ZM050407710,ZM0504,Lusaka,Lusaka,G1351
ZM050407606,ZM0504,Lusaka,Lusaka,G1351
ZM050408024,ZM0504,Lusaka,Lusaka,G1351
ZM010601417,ZM0106,Serenje,Central,no_station
ZM010601313,ZM0106,Serenje,Central,no_station
ZM050107305,ZM0501,Chongwe,Lusaka,G1353
ZM100213703,ZM1002,Kaoma,Western,G1319
ZM060608709,ZM0606,Nakonde,Muchiga,no_station
ZM100113619,ZM1001,Kalabo,Western,G1328
ZM100113625,ZM1001,Kalabo,Western,G1328
ZM100514503,ZM1005,Senanga,Western,G1361
ZM100414413,ZM1004,Mongu,Western,G1328
ZM100614803,ZM1006,Sesheke,Western,G1361
ZM050307103,ZM0503,Luangwa,Lusaka,G1353
ZM100615019,ZM1006,Sesheke,Western,G1361
ZM050408129,ZM0504,Lusaka,Lusaka,G1351
ZM050407712,ZM0504,Lusaka,Lusaka,G1351
ZM050407920,ZM0504,Lusaka,Lusaka,G1351
ZM010601418,ZM0106,Serenje,Central,no_station
ZM050107303,ZM0501,Chongwe,Lusaka,G1353
ZM100514615,ZM1005,Senanga,Western,G1361
ZM050207001,ZM0502,Kafue,Lusaka,G1352
ZM050207006,ZM0502,Kafue,Lusaka,G1352
ZM100113504,ZM1001,Kalabo,Western,G1328
ZM100113417,ZM1001,Kalabo,Western,G1328
ZM100213920,ZM1002,Kaoma,Western,G1319
ZM100213919,ZM1002,Kaoma,Western,G1319
ZM100113627,ZM1001,Kalabo,Western,G1328
ZM100614911,ZM1006,Sesheke,Western,G1361
ZM100514507,ZM1005,Senanga,Western,G1361
ZM100414410,ZM1004,Mongu,Western,G1328
ZM100414316,ZM1004,Mongu,Western,G1328
ZM050307102,ZM0503,Luangwa,Lusaka,G1353
ZM050307111,ZM0503,Luangwa,Lusaka,G1353
ZM100714701,ZM1007,Shangombo,Western,G1328
ZM050407814,ZM0504,Lusaka,Lusaka,G1351
ZM050407711,ZM0504,Lusaka,Lusaka,G1351
ZM050408131,ZM0504,Lusaka,Lusaka,G1351
ZM010601316,ZM0106,Serenje,Central,no_station
ZM050408132,ZM0504,Lusaka,Lusaka,G1351
ZM100514610,ZM1005,Senanga,Western,G1361
ZM050207003,ZM0502,Kafue,Lusaka,G1352
ZM100113501,ZM1001,Kalabo,Western,G1328
ZM100113412,ZM1001,Kalabo,Western,G1328
ZM060208421,ZM0602,Chinsali,Muchiga,G1269
ZM100113622,ZM1001,Kalabo,Western,G1328
ZM100614912,ZM1006,Sesheke,Western,G1361
ZM100514506,ZM1005,Senanga,Western,G1361
ZM100414326,ZM1004,Mongu,Western,G1328
ZM050307114,ZM0503,Luangwa,Lusaka,G1353
ZM050307112,ZM0503,Luangwa,Lusaka,G1353
ZM050407609,ZM0504,Lusaka,Lusaka,G1351
ZM050407608,ZM0504,Lusaka,Lusaka,G1351
ZM050408028,ZM0504,Lusaka,Lusaka,G1351
ZM010601312,ZM0106,Serenje,Central,no_station
ZM010601314,ZM0106,Serenje,Central,no_station
ZM050107307,ZM0501,Chongwe,Lusaka,G1353
ZM100514613,ZM1005,Senanga,Western,G1361
ZM050207009,ZM0502,Kafue,Lusaka,G1352
ZM100113411,ZM1001,Kalabo,Western,G1328
ZM060208420,ZM0602,Chinsali,Muchiga,G1269
ZM100213916,ZM1002,Kaoma,Western,G1319
ZM050107411,ZM0501,Chongwe,Lusaka,G1353
ZM010200411,ZM0102,Kabwe,Central,G1344
ZM010200405,ZM0102,Kabwe,Central,G1344
ZM010500917,ZM0105,Mumbwa,Central,G1329
ZM100314006,ZM1003,Lukulu,Western,G1328
