placeCode,name,glofasStation
ET041912,Horo Buluk,no_station
ET040204,Haro Limu,no_station
ET072008,Hulbareg,no_station
ET030996,Injibara town,no_station
ET040603,Hidabu Abote,no_station
ET020505,Hadelela,no_station
ET040114,Haru,no_station
ET051095,Horshagah,no_station
ET040500,Illu Galan,no_station
ET160010,Boricha,no_station
ET160017,Bona Zuria,no_station
ET030198,Debark town,no_station
ET160014,Chire,no_station
ET070602,Damot Gale,no_station
ET050392,Daror,no_station
ET160024,Bura,no_station
ET030698,Dejen town,no_station
ET040317,Didu,no_station
ET160034,Daella,no_station
ET070508,Chelelektu town,no_station
ET050307,Degahabur town,no_station
ET050701,Danod,no_station
ET030713,Debub Achefer,no_station
ET130106,Dire Teyara,no_station
ET041305,Ilu,no_station
ET050206,Kebribeyah,no_station
ET041810,Jimma Horo,no_station
ET031006,Kemisie town,no_station
ET070709,Jinka town,no_station
ET071019,Kucha,no_station
ET071705,Isara,no_station
ET070203,Lemmo,no_station
ET070707,Malie,G1901
ET010102,Laelay Adiabo,no_station
ET041708,Kokosa,no_station
ET040610,Kimbibit,no_station
ET070805,Masha town,no_station
ET030498,Mekane Selame,no_station
ET030205,Lay Gayint,no_station
ET072003,Lanfero,no_station
ET072011,Kibet town,no_station
ET071301,Karat town,no_station
ET140106,Kirkos,no_station
ET150206,Jeldessa,no_station
ET041001,Kombolcha,no_station
ET071401,Kulito town,no_station
ET030413,Kelela,no_station
ET040711,Liben Chukala,no_station
ET030420,Legehida,no_station
ET030213,Mena Meketewa,no_station
ET030421,Mekdela,no_station
ET010505,May Kadra,no_station
ET071708,Mari Mansa,no_station
ET071807,Maji,no_station
ET120204,Jore,G5056
ET040502,Jeldu,no_station
ET140103,Kolfe - Keran,no_station
ET150113,Kazira,no_station
ET040615,Jida,no_station
ET041002,Jarso (East Hararghe),no_station
ET030512,Kewet,no_station
ET041907,Jimma Rare,no_station
ET070610,Kindo Daddaye,no_station
ET071304,Kena,no_station
ET070303,Kediada Gambela,no_station
ET041707,Dodola,no_station
ET050798,Lehel-Yucub,no_station
ET030399,Kobo town,no_station
ET050592,Kebridehar town,no_station
ET040214,Jimma Arjo,no_station
ET030414,Jama,no_station
ET030417,Kombolcha town,no_station
ET160037,Loka Abaya,no_station
ET030398,Lalibela town,no_station
ET150104,Malka Jabti /M.Jebdu),no_station
ET140105,Lideta,no_station
ET010116,May Tsebri town,no_station
ET040406,Mena (Jimma),no_station
ET041012,Melka Balo,no_station
ET040904,Mesela,no_station
ET120102,Lare,G1603
ET040911,Kuni /Oda Bultum,no_station
ET071901,Konta,no_station
ET050605,Kelafo,G1904
ET060403,Kamashi,no_station
ET040217,Kiremu,no_station
ET040401,Limu Seka,no_station
ET040212,Leka Dulecha,no_station
ET031005,Dewa Harewa,no_station
ET050991,Deka Suftu,no_station
ET071706,Kache,no_station
ET041502,Kercha,no_station
ET050296,Kebribayah town,no_station
ET010205,Laelay Maychew,no_station
ET010208,Kola Temben,no_station
ET031108,Lay Armacho,no_station
ET160022,Leku town,no_station
ET160012,Malga,no_station
ET040402,Limu Kosa,no_station
ET071017,Kucha Alpha,no_station
ET070802,Masha,no_station
ET030298,Mekan Eyesuse,no_station
ET010306,Kelete Awelallo,no_station
ET130103,Jinela,no_station
ET070620,Kawo Koisha,no_station
ET030403,Kutaber,no_station
ET040405,Kersa (Jimma),G6109
ET050596,Lasdhankayre,no_station
ET120308,Mengesh,no_station
ET060204,Madira,no_station
ET040201,Limu (OR),no_station
ET060508,Maokomo Special,no_station
ET041618,Meko,no_station
ET020204,Megale,no_station
ET060302,Kurmuk,no_station
ET041705,Kore,no_station
ET050293,Jigjiga town,no_station
ET070304,Kacha Bira,no_station
ET050898,Kohle /Qoxle,no_station
ET041008,Kersa (East Hararge),no_station
ET010412,Mekhoni town,no_station
ET040801,Merti,no_station
ET040104,Lalo Asabi,no_station
ET042004,Lege Tafo-Lege Dadi town,no_station
ET010409,Maichew town,no_station
ET030704,Mecha,G4977
ET031224,Metema Yohanes town,no_station
ET040490,Mancho,no_station
ET060301,Menge,no_station
ET010410,Korem town,no_station
ET040198,Mendi town,no_station
ET040320,Metu town,no_station
ET071501,Melekoza,no_station
ET041113,Meda Welabu,no_station
ET041704,Kofele,no_station
ET040597,Liban Jawi,no_station
ET040101,Mana Sibu,no_station
ET030502,Merhabete,no_station
ET070107,Mareko,no_station
ET030419,Mehal Sayint,no_station
ET030518,Minjar Shenkora,no_station
ET040604,Kuyu,no_station
ET020108,Kori,no_station
ET040514,Meta Robi,no_station
ET072012,Mito,no_station
ET071703,Loma,no_station
ET041210,Moyale (OR),no_station
ET050408,Meyumuluka,no_station
ET071804,Menit Shasha,no_station
ET040297,Nekemte town,no_station
ET041518,Melka Soda,no_station
ET030522,Menze Lalo Midir,no_station
ET030597,Mehale Meda town,no_station
ET071005,Mirab Abaya,no_station
ET070112,Muhur Na Aklil,G6108
ET040504,Mida Kegn,no_station
ET120105,Makuey,no_station
ET041414,Negele town,no_station
ET030706,Quarit,no_station
ET070106,Meskan,no_station
ET020198,Samera Logiya town,no_station
ET030302,Raya Kobo,no_station
ET041216,Miyo,no_station
ET070201,Misha,no_station
ET040799,Metehara town,no_station
ET030797,Merawi town,no_station
ET070607,Ofa,no_station
ET010403,Neqsege,no_station
